0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:57 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:57 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:57 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:57 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:59:57 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:20 +0200] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:20 +0200] "GET /Alumni-2/index.html HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:25 +0200] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:25 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:25 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:26 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:27 +0200] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:39 +0200] "POST /Alumni-2/addUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:03:39 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:11:04:48 +0200] "GET /Alumni-2/JSP/PendingUsers.jsp HTTP/1.1" 200 7564
